team,year,squad_size,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Barbados,2015,2,30.5,183.5,74.5,61.5,62.0,59.5,54.5,45.5,63.5,25.5,35.5,50.5,64.0,73.5,76.0,60.0,64.5,62.5,61.0,67.5,69.0,68.5,50.5,64.0,48.0,54.0,57.0,60.5,,46.0,49.0,46.0,11.0,5.0,6.0,12.0,7.5
Belarus,2015,16,28.625,183.125,78.125,55.6875,44.9375,49.1875,59.25,42.5625,53.0625,48.625,47.75,57.375,57.25,60.25,58.0,58.5,62.875,60.9375,50.4375,67.5,58.875,65.4375,50.75,53.6875,49.0625,48.125,53.6875,46.5625,,46.9375,49.0625,47.8125,21.25,20.125,20.4375,19.875,20.25
Belgium,2015,23,25.782608695652176,184.1304347826087,78.0,64.26086956521739,58.65217391304348,61.04347826086956,71.78260869565217,58.34782608695652,67.0,60.56521739130435,60.30434782608695,67.65217391304348,69.3913043478261,70.6086956521739,72.56521739130434,70.26086956521739,76.34782608695652,63.52173913043478,72.82608695652173,72.6086956521739,71.0,73.30434782608695,65.0,63.34782608695652,55.26086956521739,61.43478260869565,62.82608695652174,61.82608695652174,,52.08695652173913,55.69565217391305,53.95652173913044,19.347826086956523,19.347826086956523,17.782608695652176,19.47826086956522,19.782608695652176
Benin,2015,14,23.571428571428573,182.28571428571428,76.0,50.5,50.21428571428572,61.285714285714285,58.35714285714285,44.85714285714285,56.92857142857143,46.0,42.21428571428572,50.57142857142857,60.07142857142857,64.85714285714286,65.14285714285714,60.85714285714285,59.0,63.142857142857146,55.57142857142857,67.71428571428571,69.21428571428571,69.35714285714286,48.42857142857143,61.21428571428572,45.142857142857146,53.85714285714285,52.21428571428572,50.57142857142857,,45.642857142857146,46.42857142857143,45.142857142857146,12.571428571428571,14.857142857142858,13.214285714285714,13.0,12.785714285714286
Bermuda,2015,2,21.5,181.5,77.0,43.5,47.0,42.5,39.5,38.5,46.5,44.5,38.5,29.0,43.0,65.0,67.0,65.5,52.0,57.5,47.5,70.0,55.5,63.0,47.0,25.5,39.5,43.5,42.5,55.5,,25.0,23.0,25.0,36.5,30.0,33.0,29.5,33.5
Bolivia,2015,23,26.782608695652176,176.69565217391303,72.17391304347827,47.73913043478261,45.56521739130435,50.391304347826086,51.95652173913044,39.73913043478261,52.91304347826087,42.130434782608695,41.26086956521739,48.17391304347826,55.43478260869565,62.82608695652174,62.08695652173913,63.04347826086956,58.34782608695652,69.73913043478261,51.47826086956522,60.04347826086956,62.0,56.04347826086956,46.08695652173913,48.130434782608695,44.21739130434783,46.869565217391305,48.95652173913044,51.21739130434783,,43.391304347826086,43.34782608695652,42.73913043478261,16.608695652173914,15.869565217391305,16.608695652173914,17.47826086956522,16.347826086956523
Bosnia and Herzegovina,2015,23,26.65217391304348,185.2608695652174,79.0,59.65217391304348,53.0,59.130434782608695,66.8695652173913,50.73913043478261,62.47826086956522,60.26086956521739,56.91304347826087,62.17391304347826,65.91304347826087,63.26086956521739,67.1304347826087,66.3913043478261,71.82608695652173,59.08695652173913,68.17391304347827,64.78260869565217,67.52173913043478,73.17391304347827,58.04347826086956,63.30434782608695,55.21739130434783,55.82608695652174,59.56521739130435,58.47826086956522,,50.34782608695652,54.69565217391305,52.0,16.73913043478261,15.08695652173913,15.695652173913045,15.565217391304348,15.73913043478261
Brazil,2015,23,25.565217391304348,180.7391304347826,75.47826086956522,66.08695652173913,56.69565217391305,60.73913043478261,72.04347826086956,57.04347826086956,70.43478260869566,62.78260869565217,58.30434782608695,69.17391304347827,73.91304347826087,77.34782608695652,77.47826086956522,75.95652173913044,79.47826086956522,68.91304347826087,71.17391304347827,73.3913043478261,74.91304347826087,67.3913043478261,63.0,67.34782608695652,64.1304347826087,61.82608695652174,64.73913043478261,59.34782608695652,,58.82608695652174,63.69565217391305,63.130434782608695,19.91304347826087,17.82608695652174,17.782608695652176,18.65217391304348,19.043478260869566
Bulgaria,2015,23,27.0,182.56521739130437,75.69565217391305,51.391304347826086,48.34782608695652,56.17391304347826,56.56521739130435,43.391304347826086,53.73913043478261,46.47826086956522,46.69565217391305,53.08695652173913,57.43478260869565,66.21739130434783,65.21739130434783,57.869565217391305,62.73913043478261,59.43478260869565,55.17391304347826,62.82608695652174,63.26086956521739,66.21739130434783,49.21739130434783,54.95652173913044,49.60869565217392,49.82608695652174,50.43478260869565,48.56521739130435,,50.91304347826087,52.43478260869565,50.78260869565217,17.347826086956523,18.130434782608692,17.608695652173914,16.043478260869566,18.0
Burkina Faso,2015,18,23.5,178.11111111111111,72.88888888888889,53.888888888888886,52.61111111111112,57.888888888888886,60.888888888888886,48.0,62.27777777777778,48.94444444444444,45.44444444444444,54.333333333333336,65.55555555555556,77.38888888888889,77.61111111111111,73.33333333333333,64.22222222222223,72.88888888888889,61.77777777777778,71.27777777777777,69.33333333333333,64.88888888888889,52.16666666666666,62.11111111111112,51.05555555555556,55.77777777777778,54.94444444444444,55.5,,49.77777777777778,49.55555555555556,46.388888888888886,9.444444444444445,10.833333333333334,8.222222222222221,10.666666666666666,10.77777777777778
Burundi,2015,2,22.5,175.0,67.5,42.5,38.0,49.0,54.5,38.0,54.0,42.0,31.5,41.5,51.5,76.5,74.0,59.5,60.0,67.5,48.0,78.0,59.5,50.0,48.0,56.5,46.5,40.0,38.0,47.5,,38.5,44.0,43.0,6.5,9.5,8.5,13.0,10.0
Cambodia,2015,1,27.0,177.0,76.0,40.0,63.0,62.0,52.0,51.0,61.0,60.0,33.0,41.0,64.0,71.0,68.0,69.0,63.0,66.0,68.0,70.0,60.0,69.0,55.0,62.0,42.0,66.0,44.0,54.0,,25.0,25.0,20.0,10.0,13.0,9.0,5.0,15.0
Cameroon,2015,23,25.65217391304348,181.4782608695652,77.69565217391305,53.69565217391305,46.47826086956522,63.391304347826086,63.130434782608695,48.34782608695652,61.130434782608695,49.30434782608695,42.391304347826086,57.04347826086956,64.3913043478261,71.17391304347827,74.52173913043478,67.82608695652173,69.95652173913044,65.73913043478261,63.60869565217392,73.8695652173913,69.30434782608695,71.26086956521739,50.73913043478261,60.43478260869565,55.34782608695652,54.08695652173913,55.21739130434783,49.26086956521739,,51.47826086956522,54.69565217391305,51.391304347826086,16.695652173913043,16.869565217391305,17.869565217391305,17.0,19.47826086956522
Canada,2015,23,26.73913043478261,181.2173913043478,76.82608695652173,52.869565217391305,49.60869565217392,59.69565217391305,61.391304347826086,51.391304347826086,58.43478260869565,52.21739130434783,46.95652173913044,52.73913043478261,60.52173913043478,69.21739130434783,69.82608695652173,66.21739130434783,62.65217391304348,65.95652173913044,62.26086956521739,71.52173913043478,66.82608695652173,67.0,53.21739130434783,64.43478260869566,50.60869565217392,56.21739130434783,54.69565217391305,53.91304347826087,,47.21739130434783,50.65217391304348,48.17391304347826,11.521739130434783,12.347826086956522,11.73913043478261,13.217391304347826,12.652173913043478
Cape Verde,2015,23,24.08695652173913,183.34782608695653,76.0,50.60869565217392,50.08695652173913,59.391304347826086,57.82608695652174,48.08695652173913,60.34782608695652,49.65217391304348,42.65217391304348,50.04347826086956,60.34782608695652,69.82608695652173,72.78260869565217,64.69565217391305,61.04347826086956,62.82608695652174,62.0,66.69565217391305,65.3913043478261,69.34782608695652,50.73913043478261,57.73913043478261,42.34782608695652,53.04347826086956,50.21739130434783,53.17391304347826,,40.30434782608695,43.08695652173913,40.60869565217392,11.695652173913045,11.521739130434783,13.478260869565217,12.304347826086955,12.08695652173913
Central African Republic,2015,7,24.714285714285715,184.8571428571429,78.0,43.85714285714285,44.85714285714285,55.57142857142857,50.57142857142857,43.71428571428572,50.85714285714285,42.0,35.0,41.285714285714285,52.142857142857146,63.71428571428572,64.42857142857143,59.85714285714285,54.285714285714285,56.142857142857146,57.142857142857146,69.42857142857143,58.142857142857146,64.0,44.71428571428572,49.71428571428572,39.285714285714285,49.42857142857143,43.71428571428572,43.285714285714285,,41.57142857142857,42.57142857142857,40.85714285714285,19.142857142857142,16.714285714285715,17.857142857142858,16.142857142857142,17.142857142857142
Chile,2015,23,26.695652173913043,177.30434782608697,74.34782608695652,58.91304347826087,54.08695652173913,55.17391304347826,66.47826086956522,54.26086956521739,64.95652173913044,58.130434782608695,56.17391304347826,61.73913043478261,67.91304347826087,73.17391304347827,71.56521739130434,70.56521739130434,70.26086956521739,71.34782608695652,62.65217391304348,73.65217391304348,72.34782608695652,65.21739130434783,57.47826086956522,65.0,56.21739130434783,58.52173913043478,61.0,58.21739130434783,,52.04347826086956,56.08695652173913,52.95652173913044,18.17391304347826,17.652173913043477,17.73913043478261,17.130434782608695,18.65217391304348
China,2015,2,20.0,181.0,69.5,65.0,47.0,45.0,61.5,54.0,68.0,57.5,54.0,55.0,67.0,71.5,78.0,75.0,57.5,72.0,69.0,47.5,66.0,52.0,56.0,42.5,29.5,51.5,56.0,60.0,,29.0,31.5,32.5,8.0,10.5,12.0,7.0,10.0
Colombia,2015,23,27.043478260869566,180.8695652173913,77.34782608695652,57.69565217391305,55.130434782608695,62.08695652173913,65.95652173913044,54.78260869565217,65.65217391304348,56.60869565217392,51.69565217391305,60.91304347826087,67.56521739130434,70.65217391304348,72.43478260869566,69.8695652173913,73.21739130434783,66.26086956521739,68.21739130434783,69.91304347826087,70.47826086956522,73.69565217391305,60.56521739130435,64.91304347826087,52.130434782608695,62.56521739130435,60.56521739130435,59.82608695652174,,45.391304347826086,52.391304347826086,48.17391304347826,18.47826086956522,17.434782608695652,17.347826086956523,16.52173913043478,18.347826086956523
Comoros,2015,4,25.5,177.5,71.5,58.5,38.5,59.5,61.5,40.0,59.75,45.75,36.75,53.25,57.0,77.75,75.0,73.5,65.5,75.0,55.25,62.75,70.5,59.5,44.25,52.75,57.25,48.5,50.25,44.0,,53.5,58.0,57.5,9.5,12.5,10.75,12.5,7.75
Congo,2015,13,24.846153846153847,182.07692307692307,76.53846153846153,46.46153846153846,45.30769230769231,58.30769230769231,57.30769230769231,44.23076923076923,51.15384615384615,40.61538461538461,39.92307692307692,48.23076923076923,56.84615384615385,68.46153846153847,66.3076923076923,64.23076923076923,63.84615384615385,63.69230769230769,57.23076923076923,66.46153846153847,62.69230769230769,69.23076923076923,44.92307692307692,60.53846153846154,51.07692307692308,48.46153846153846,51.23076923076923,45.46153846153846,,48.53846153846154,51.30769230769231,49.61538461538461,15.153846153846152,14.153846153846152,14.076923076923077,14.538461538461538,14.307692307692308
Costa Rica,2015,23,26.30434782608696,180.8695652173913,75.56521739130434,56.0,52.60869565217392,57.08695652173913,60.130434782608695,51.43478260869565,61.130434782608695,55.60869565217392,47.65217391304348,54.52173913043478,64.47826086956522,73.08695652173913,72.69565217391305,71.26086956521739,65.95652173913044,69.1304347826087,63.65217391304348,69.52173913043478,70.30434782608695,66.26086956521739,54.65217391304348,62.56521739130435,48.69565217391305,57.73913043478261,55.21739130434783,53.52173913043478,,47.91304347826087,48.82608695652174,46.95652173913044,16.434782608695652,15.304347826086955,15.434782608695652,15.565217391304348,16.08695652173913
Croatia,2015,23,27.65217391304348,184.0,78.56521739130434,64.3913043478261,58.21739130434783,61.60869565217392,68.95652173913044,60.34782608695652,67.52173913043478,63.56521739130435,62.34782608695652,64.08695652173913,71.47826086956522,67.43478260869566,67.65217391304348,68.04347826086956,75.47826086956522,61.65217391304348,70.47826086956522,68.26086956521739,67.8695652173913,71.8695652173913,63.34782608695652,65.69565217391305,54.30434782608695,61.56521739130435,65.47826086956522,65.1304347826087,,47.17391304347826,52.869565217391305,49.91304347826087,16.434782608695652,15.608695652173912,15.91304347826087,15.26086956521739,15.043478260869565
Cuba,2015,2,23.0,177.5,76.0,39.5,41.0,53.0,66.0,47.5,55.5,50.0,42.0,64.5,58.5,73.5,74.5,61.5,63.5,72.5,65.5,69.5,70.0,68.5,48.5,68.0,58.5,57.0,55.0,53.5,,55.0,60.0,57.5,11.0,10.0,10.5,13.0,9.5
Curaçao,2015,5,22.2,176.6,70.6,56.6,45.2,48.4,58.2,46.4,64.2,49.2,40.6,51.2,62.6,78.0,76.8,71.4,60.4,72.4,55.6,70.0,65.2,57.6,51.0,57.4,47.6,53.0,51.6,48.8,,45.0,47.2,46.4,11.2,10.8,10.0,11.4,9.6
Cyprus,2015,3,23.33333333333333,184.66666666666663,79.66666666666667,43.66666666666666,45.66666666666666,59.333333333333336,50.0,43.66666666666666,48.66666666666666,44.66666666666666,33.0,51.0,51.0,76.66666666666667,74.0,59.333333333333336,52.0,65.33333333333333,53.0,68.66666666666667,63.333333333333336,72.0,38.333333333333336,63.0,53.0,44.66666666666666,40.66666666666666,46.0,,46.333333333333336,53.66666666666666,46.66666666666666,10.0,7.333333333333333,10.666666666666666,12.0,9.0
Czech Republic,2015,23,27.217391304347824,182.0434782608696,75.21739130434783,57.91304347826087,54.95652173913044,56.95652173913044,63.17391304347826,53.869565217391305,61.869565217391305,54.56521739130435,53.0,59.391304347826086,65.52173913043478,68.43478260869566,68.73913043478261,65.08695652173913,70.69565217391305,65.69565217391305,65.21739130434783,68.08695652173913,68.34782608695652,64.82608695652173,57.69565217391305,62.47826086956522,52.73913043478261,56.391304347826086,56.69565217391305,58.73913043478261,,50.08695652173913,52.0,52.130434782608695,18.91304347826087,17.47826086956522,17.956521739130434,19.608695652173918,17.608695652173914
DR Congo,2015,23,26.17391304347826,180.34782608695653,76.56521739130434,56.391304347826086,50.73913043478261,57.26086956521739,61.95652173913044,47.91304347826087,61.73913043478261,53.91304347826087,46.391304347826086,54.47826086956522,64.3913043478261,74.08695652173913,73.30434782608695,72.69565217391305,67.43478260869566,67.73913043478261,64.69565217391305,72.26086956521739,71.30434782608695,72.17391304347827,54.73913043478261,63.34782608695652,48.60869565217392,55.91304347826087,57.26086956521739,54.43478260869565,,47.52173913043478,51.56521739130435,48.869565217391305,12.217391304347826,13.391304347826088,12.608695652173912,12.26086956521739,12.0
Denmark,2015,23,25.65217391304348,183.69565217391303,77.65217391304348,55.869565217391305,52.78260869565217,58.60869565217392,65.26086956521739,51.95652173913044,60.130434782608695,56.17391304347826,56.130434782608695,62.26086956521739,65.8695652173913,67.56521739130434,67.69565217391305,65.65217391304348,69.91304347826087,65.0,67.91304347826087,66.47826086956522,70.8695652173913,70.56521739130434,57.91304347826087,60.78260869565217,55.60869565217392,58.95652173913044,58.69565217391305,54.43478260869565,,49.82608695652174,54.30434782608695,50.30434782608695,17.695652173913043,18.39130434782609,18.52173913043478,18.39130434782609,18.47826086956522
Ecuador,2015,23,27.52173913043478,178.6086956521739,74.78260869565217,55.56521739130435,51.0,57.60869565217392,60.47826086956522,49.391304347826086,62.08695652173913,54.65217391304348,52.95652173913044,55.34782608695652,63.78260869565217,72.6086956521739,71.47826086956522,65.04347826086956,66.6086956521739,63.73913043478261,61.47826086956522,67.73913043478261,69.04347826086956,69.56521739130434,53.34782608695652,59.391304347826086,47.65217391304348,55.130434782608695,55.78260869565217,56.391304347826086,,47.26086956521739,49.65217391304348,47.21739130434783,17.782608695652176,17.695652173913043,17.52173913043478,18.043478260869566,17.608695652173914
Egypt,2015,23,28.0,180.3913043478261,76.08695652173913,54.869565217391305,51.47826086956522,54.65217391304348,62.30434782608695,44.17391304347826,59.52173913043478,50.91304347826087,47.56521739130435,54.82608695652174,60.73913043478261,67.04347826086956,66.73913043478261,62.91304347826087,63.130434782608695,65.52173913043478,60.34782608695652,65.30434782608695,64.8695652173913,67.0,53.0,60.65217391304348,50.17391304347826,51.91304347826087,55.91304347826087,52.391304347826086,,47.78260869565217,51.56521739130435,48.391304347826086,17.043478260869566,17.73913043478261,18.043478260869566,18.0,17.695652173913043
England,2015,23,24.47826086956522,182.56521739130437,75.73913043478261,61.78260869565217,57.34782608695652,60.60869565217392,70.6086956521739,55.82608695652174,68.47826086956522,58.65217391304348,53.21739130434783,64.6086956521739,69.69565217391305,72.3913043478261,73.21739130434783,68.08695652173913,75.3913043478261,67.6086956521739,66.65217391304348,70.3913043478261,72.69565217391305,71.73913043478261,62.73913043478261,64.30434782608695,52.17391304347826,62.08695652173913,62.95652173913044,60.73913043478261,,50.91304347826087,56.56521739130435,53.47826086956522,19.0,20.91304347826087,19.43478260869565,19.043478260869566,20.30434782608696
Equatorial Guinea,2015,4,25.75,180.25,74.25,56.25,47.5,50.5,55.0,43.75,53.25,54.5,40.5,52.25,55.25,73.5,79.75,75.0,64.75,69.0,61.0,81.75,70.75,71.75,49.0,55.25,41.25,54.5,49.5,45.75,,42.75,45.25,54.0,21.75,18.75,19.25,22.5,22.0
Estonia,2015,9,25.11111111111111,181.44444444444449,78.22222222222223,45.44444444444444,51.11111111111112,52.0,52.66666666666666,45.66666666666666,55.77777777777778,46.77777777777778,38.22222222222222,47.22222222222222,58.11111111111112,68.0,66.66666666666667,63.22222222222222,57.77777777777778,65.22222222222223,61.22222222222222,64.66666666666667,61.333333333333336,61.22222222222222,51.888888888888886,50.888888888888886,36.0,51.888888888888886,50.77777777777778,50.77777777777778,,37.55555555555556,38.888888888888886,37.333333333333336,15.77777777777778,16.11111111111111,14.0,16.77777777777778,15.444444444444445
Faroe Islands,2015,4,21.5,183.0,76.0,34.75,36.75,42.25,43.25,32.75,41.0,34.75,33.25,39.5,42.25,58.25,60.0,56.25,52.5,56.25,39.75,62.0,53.0,58.5,36.0,38.5,35.0,44.25,37.0,44.0,,35.5,38.0,36.75,22.75,22.5,23.25,23.25,21.75
Fiji,2015,1,26.0,170.0,70.0,52.0,57.0,36.0,45.0,58.0,67.0,61.0,32.0,38.0,59.0,83.0,78.0,79.0,63.0,81.0,58.0,65.0,58.0,32.0,51.0,31.0,21.0,61.0,44.0,41.0,,25.0,22.0,26.0,12.0,12.0,5.0,10.0,8.0
Finland,2015,23,25.347826086956523,183.2173913043478,78.6086956521739,52.78260869565217,48.65217391304348,55.17391304347826,61.43478260869565,47.21739130434783,57.43478260869565,55.869565217391305,49.91304347826087,56.47826086956522,62.56521739130435,62.78260869565217,62.56521739130435,63.73913043478261,64.1304347826087,61.0,63.56521739130435,65.52173913043478,66.56521739130434,66.69565217391305,56.04347826086956,59.04347826086956,50.26086956521739,53.91304347826087,52.95652173913044,51.95652173913044,,48.08695652173913,50.65217391304348,50.04347826086956,16.956521739130434,16.08695652173913,15.391304347826088,15.73913043478261,16.47826086956522
France,2015,23,26.043478260869566,180.82608695652172,76.04347826086956,64.21739130434783,55.34782608695652,66.21739130434783,70.95652173913044,54.69565217391305,66.08695652173913,61.43478260869565,54.95652173913044,65.56521739130434,69.95652173913044,75.1304347826087,74.47826086956522,72.17391304347827,78.21739130434783,66.95652173913044,67.08695652173913,75.52173913043478,74.3913043478261,71.8695652173913,60.130434782608695,68.82608695652173,63.391304347826086,60.869565217391305,63.0,57.08695652173913,,57.60869565217392,60.56521739130435,60.04347826086956,19.47826086956522,18.91304347826087,17.391304347826086,18.217391304347824,18.73913043478261
Gabon,2015,12,23.58333333333333,181.41666666666663,76.91666666666667,49.16666666666666,43.66666666666666,50.66666666666666,58.41666666666666,40.5,53.91666666666666,44.66666666666666,43.5,51.91666666666666,58.25,68.91666666666667,69.75,63.25,64.25,65.16666666666667,50.333333333333336,63.91666666666666,60.91666666666666,67.58333333333333,45.25,55.333333333333336,49.0,48.083333333333336,50.41666666666666,47.16666666666666,,47.75,50.91666666666666,48.66666666666666,20.166666666666668,19.5,18.25,20.25,19.916666666666668
Gambia,2015,12,23.916666666666668,182.25,75.83333333333333,51.833333333333336,50.583333333333336,54.25,55.41666666666666,46.833333333333336,58.0,48.41666666666666,48.5,51.333333333333336,60.25,75.66666666666667,75.33333333333333,70.08333333333333,57.41666666666666,62.083333333333336,61.91666666666666,68.58333333333333,68.58333333333333,67.16666666666667,52.25,59.16666666666666,43.333333333333336,56.083333333333336,50.91666666666666,54.083333333333336,,43.75,44.0,42.91666666666666,9.083333333333334,10.083333333333334,10.416666666666666,11.083333333333334,9.416666666666666
Georgia,2015,16,22.0625,181.1875,74.3125,50.25,51.25,56.125,59.25,47.9375,61.0625,48.0625,46.5,52.9375,61.5625,70.0625,70.4375,65.625,59.0625,65.0,59.0625,59.0625,63.75,63.0625,49.125,53.9375,40.0625,52.75,55.5625,54.875,,41.9375,44.625,42.375,8.25,8.875,9.75,10.5,10.125
Germany,2015,23,24.91304347826087,185.95652173913044,80.43478260869566,65.30434782608695,61.04347826086956,62.0,73.52173913043478,62.130434782608695,68.52173913043478,63.17391304347826,56.34782608695652,66.17391304347827,72.34782608695652,69.26086956521739,70.78260869565217,68.47826086956522,82.21739130434783,63.04347826086956,71.3913043478261,68.91304347826087,70.8695652173913,72.73913043478261,63.130434782608695,62.65217391304348,58.130434782608695,64.3913043478261,66.78260869565217,61.130434782608695,,50.21739130434783,55.56521739130435,54.21739130434783,19.782608695652176,19.565217391304348,18.30434782608696,19.217391304347824,19.0
Ghana,2015,23,24.65217391304348,177.91304347826087,73.73913043478261,63.56521739130435,57.08695652173913,61.56521739130435,71.8695652173913,59.17391304347826,70.47826086956522,59.08695652173913,50.43478260869565,65.30434782608695,73.08695652173913,79.95652173913044,79.69565217391305,76.30434782608695,69.78260869565217,75.56521739130434,71.91304347826087,79.34782608695652,77.26086956521739,70.52173913043478,62.43478260869565,71.73913043478261,58.82608695652174,63.69565217391305,65.52173913043478,56.69565217391305,,51.73913043478261,58.52173913043478,58.04347826086956,9.130434782608695,7.3478260869565215,8.608695652173912,8.26086956521739,8.478260869565217
Gibraltar,2015,1,28.0,183.0,72.0,62.0,24.0,63.0,62.0,23.0,57.0,40.0,42.0,56.0,65.0,77.0,78.0,71.0,59.0,69.0,56.0,74.0,70.0,67.0,39.0,54.0,58.0,41.0,49.0,35.0,,67.0,66.0,66.0,7.0,6.0,6.0,8.0,7.0
